"variable","sedentary_category","mean","se"
"age","<4 h/day",48.8396609405212,0.629046143039286
"age","4 to <6 h/day",49.2059041173594,0.552079887417438
"age","6 to <8 h/day",50.9556506961156,0.926775088844946
"age","≥8 h/day",47.42824230317,0.731049213273632
"pir","<4 h/day",2.49982975650474,0.0802259382207571
"pir","4 to <6 h/day",3.00341786889434,0.102267635213097
"pir","6 to <8 h/day",3.11833900360665,0.121705361727146
"pir","≥8 h/day",3.39545663904505,0.119430813361587
"bmi","<4 h/day",28.8657029478542,0.348726918178654
"bmi","4 to <6 h/day",29.2693331033863,0.335917300926645
"bmi","6 to <8 h/day",29.8272398308649,0.276647159640752
"bmi","≥8 h/day",30.5443347284147,0.379802644592234
"waist_cm","<4 h/day",97.8266298862481,0.771099032168776
"waist_cm","4 to <6 h/day",99.5140271673025,0.882398355029622
"waist_cm","6 to <8 h/day",101.082350225563,0.705918625829742
"waist_cm","≥8 h/day",102.880157732611,0.970162119665395
"total_meq_minutes_week","<4 h/day",436.46512389793,38.2419195966186
"total_meq_minutes_week","4 to <6 h/day",360.362113346103,22.514943496525
"total_meq_minutes_week","6 to <8 h/day",320.575592687155,36.0901909258006
"total_meq_minutes_week","≥8 h/day",249.513597506729,14.4313664294021
