"outcome","sedentary_category","percent","se"
"hypertension","<4 h/day",33.9871699900021,1.47085318661384
"hypertension","4 to <6 h/day",36.5095745936058,1.56181608004273
"hypertension","6 to <8 h/day",42.068914811231,1.48745819183669
"hypertension","≥8 h/day",37.9223298051018,2.23459484051196
"diabetes","<4 h/day",15.1004112809871,1.70640968024916
"diabetes","4 to <6 h/day",15.0600987710144,0.610613651878155
"diabetes","6 to <8 h/day",19.764989257922,1.68147299806486
"diabetes","≥8 h/day",17.9113904529932,1.53133598256993
"ckd","<4 h/day",13.4611552266812,1.12832342873509
"ckd","4 to <6 h/day",13.3558999942032,0.909252109566229
"ckd","6 to <8 h/day",16.7138006129435,2.05160053131934
"ckd","≥8 h/day",14.3728587327487,1.21282742855585
"cardiometabolic_multimorbidity","<4 h/day",15.961915182228,1.02473100229206
"cardiometabolic_multimorbidity","4 to <6 h/day",16.080779588532,0.85633297494436
"cardiometabolic_multimorbidity","6 to <8 h/day",20.6682977798687,1.73118408791129
"cardiometabolic_multimorbidity","≥8 h/day",18.7546526013534,1.56346343828157
